"","band","date","location","sex","rwl.mean","rts.mean","lts.mean","tail.mean","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","weight","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","date2","b.avg.bright","b.chrom","b.hue","b.total.bright","r.avg.bright","r.chrom","r.hue","r.total.bright","t.avg.bright","t.chrom","t.hue","t.total.bright","v.avg.bright","v.chrom","v.hue","v.total.bright"
"1","183113469","8/18/15","cargill","F",120.3333333,83.33333333,83.83333333,83.58333333,11.56666667,5.733333333,2.9,4.583333333,18.15,NA,93,86,79,74,68,62,56,49,81015,32.8215892672342,0.406110365151675,650.806666666667,65544.7137666667,39.8636509764647,0.390079827506157,643.406666666667,79607.711,23.9771271407111,0.472650212651305,643.726666666667,47882.3229,28.373269921549,0.450652525862911,660.02,56661.4200333333
"2","251104833","2/28/15","mayas","F",119.5,NA,81,81,10.96666667,5.816666667,2.966666667,4.65,17.09,93,92,87,81,76,71,65,59,55,82815,26.4596899515941,0.448818445120137,626.48,52840.0008333333,29.254176748456,0.444737920528163,626.48,58420.5909666667,15.7387639459189,0.539477796765982,681.4,31430.3116,25.4100047738274,0.460980044189127,626.8,50743.7795333333
"3","260027318","8/18/15","cargill","F",115.5,79.33333333,78,78.66666667,10.46666667,5.716666667,2.566666667,4.033333333,15.71,91,90,85,78.5,73,66,61,55,48.5,81815,43.0310944917376,0.332998031422642,610.18,85933.0957,24.4550470872976,0.486712714410519,610.18,48836.7290333333,14.3135625771991,0.539810253384225,633.42,28584.1844666667,27.0235083291604,0.477007299970808,599.163333333333,53965.9461333333
"4","260027353","2/28/15","mayas","M",127.1666667,NA,NA,NA,11.76666667,6.466666667,3.3,4.95,20.8,100,99,91,84,78.5,71,65,59,54,82815,26.9325520113504,0.461684400933678,609.793333333333,53784.3063666667,28.1997125354699,0.419543338200218,632.143333333333,56314.8259333333,14.4669104490068,0.514620014806668,659.393333333333,28890.4201666667,18.1523420297112,0.546367502766661,687.8,36250.2270333333
"5","260027665","8/19/15","cargill","M",127.3333333,104,NA,104,10.4,5.5,2.966666667,4.933333333,18,96,95,88,80.5,76,70,63.5,57,51,81815,19.1085789350693,0.509034244340328,610.5,38159.8321333333,23.8570384243031,0.491046485313742,633.453333333333,47642.5057333333,11.5175091470539,0.55494532143566,682.75,23000.4657666667,19.2824941078284,0.522920646187549,638.113333333333,38507.1407333333
"6","260027679","8/28/15","mayas","F",121.8333333,82,83.33333333,82.66666667,11.13333333,5.966666667,2.766666667,4.95,18.53,96,95,89,83,77,71,65,58,52.5,82815,34.4664764813888,0.405294013614503,583.69,68829.5535333333,31.2928757135704,0.451720167985425,631.1,62491.8728,16.8615763144717,0.527527406914491,671.103333333333,33672.5679,28.0058705224503,0.456025258070956,638.426666666667,55927.7234333333
"7","260027714","2/28/15","mayas","M",120.1666667,90.33333333,NA,90.33333333,11,6.233333333,2.833333333,5,19,93,92.5,87,80,75,68.5,63,57,52,82815,15.0788567684861,0.511629579195458,659.08,30112.4769666667,17.4981721415457,0.466049758236682,626.48,34943.8497666667,14.2905044733767,0.528061220190236,672.106666666667,28538.1374333333,19.8411140377233,0.542183791944446,676.743333333333,39622.7047333333
"8","260027772","2/28/15","mayas","M",118.3333333,NA,NA,NA,10.93333333,6.183333333,3.133333333,4.966666667,17.27,94,90,85,79.5,74,66.5,61,55,47,82815,23.2468051076615,0.467806326430868,598.126666666667,46423.8698,27.2480319813053,0.460520484714435,619.456666666667,54414.3198666667,11.5470124019362,0.566522566946665,647.433333333333,23059.3837666667,15.1400952929394,0.533999402422507,643.726666666667,30234.7703
"9","260054720","2/28/15","mayas","F",117.1666667,NA,NA,NA,11.06666667,6.133333333,2.9,4.933333333,15.72,93,90,86,80.5,76,68,64,56,50,82815,20.1147069771324,0.459399238286702,626.48,40169.0698333333,21.1703613753964,0.478346338615084,659.08,42277.2116666667,13.3146456518111,0.508581445575869,659.76,26589.3473666667,22.9533087631447,0.514898471317764,637.803333333333,45837.7576
"10","260054799","2/28/15","mayas","F",117.8333333,82.66666667,85.16666667,83.91666667,10.73333333,6.033333333,3.083333333,4.9,17.35,92,90,84,77,72,66,60,54.5,49,82815,23.216239108663,0.459743590135592,672.733333333333,46362.8295,26.7265570188616,0.413920600424354,588.7,53372.9343666667,16.4991427808379,0.521370803858657,673.48,32948.7881333333,22.5493012184944,0.478751303309449,658.14,45030.9545333333
"11","260054869","2/28/15","mayas","M",120.8333333,92,92,92,10.8,6.133333333,2.966666667,5.266666667,16.01,95,91.5,87,81,75.5,69.5,64,57,51,82815,27.9696219996662,0.456274365708622,645.773333333333,55855.3351333333,25.4611127691537,0.472231692499601,642.78,50845.8422,16.2651147387748,0.498475958503747,680.106666666667,32481.4341333333,19.4654139542647,0.534415910214272,669.403333333333,38872.4316666667
"12","260054934","8/18/15","cargill","F",120,NA,77,77,11.05,5.8,2.966666667,5.6,15.93,NA,95.5,89,82,75.5,70,65,59,52,81815,27.0863573526957,0.437062931913077,666.126666666667,54091.4556333333,28.9697326656652,0.464066887008001,623.513333333333,57852.5561333333,16.3124594391587,0.53351920640529,675.753333333333,32575.9815,37.3817325988983,0.413562365081129,617.45,74651.32
"13","260054936","8/18/15","cargill","F",120,NA,NA,NA,10.6,5.55,2.95,4.833333333,16.2,94,92,87,79,73,67.5,61,56,49.5,81815,22.9497216324487,0.464563975132523,616.12,45830.5941,27.1892339342347,0.462325354282444,653.77,54296.9001666667,17.7718832749124,0.51531131608966,653.07,35490.4509,20.9862294274745,0.506168702689008,671.686666666667,41909.5001666667
"14","260054962","8/28/15","mayas","M",123.25,NA,NA,NA,10.86666667,6.333333333,3.133333333,4.733333333,19.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,82815,33.94920812886,0.426066544267816,611.143333333333,67796.5686333333,28.3486387247538,0.4426936893708,610.18,56612.2315333333,19.9843958604574,0.50470259574567,628.126666666667,39908.8385333333,29.4978177098982,0.469497769293327,610.5,58907.1419666667
"15","260054972","8/28/15","mayas","F",121.3333333,NA,NA,NA,11.3,5.916666667,2.8,5,17.33,96,94,88,81,76,70.5,65,58,52,82815,26.8516094475046,0.409759303191041,609.793333333333,53622.6640666667,29.3332075446503,0.459035657708346,616.46,58578.4154666667,19.0103820230346,0.482987529883838,627.173333333333,37963.7329,23.8342112835921,0.466520082545556,640.44,47596.9199333333
"16","260054979","2/28/15","mayas","F",118.1666667,87.5,85.16666667,86.33333333,11.11666667,6.25,2.833333333,4.866666667,18.43,92,91,85.5,79,73,68,62,NA,NA,82815,17.9292404940744,0.489183085114298,661.13,35804.6932666667,17.2713424136204,0.494728513629564,652.09,34490.8708,9.73340272074779,0.555275444706741,660.78,19437.6052333333,15.1476430812886,0.554394408157321,688.796666666667,30249.8432333333
"17","264097014","8/18/15","cargill","F",115.6666667,78,79,78.5,10.56666667,5.8,2.75,4.983333333,15.4,90,89.5,85,79.5,73,68,63,57,49,81915,30.2785697045568,0.443661745307394,610.5,60466.3037,31.99803036221,0.420267414299388,642.78,63900.0666333333,23.9890750959773,0.491276344771268,606.5,47906.1829666667,30.3298205641796,0.452212747305712,629.11,60568.6516666667
"18","264097015","8/18/15","cargill","F",122,88.83333333,91.33333333,90.08333333,11,6,2.966666667,5.2,16.79,97,94.5,89,81.5,75,69,63,58,51,81815,29.9180976631614,0.432602476498552,611.14,59746.4410333333,31.7947787514605,0.43454612766603,579.393333333333,63494.1731666667,19.6405813720581,0.524782712052268,633.476666666667,39222.241,31.7565178601235,0.474964730102387,606.746666666667,63417.7661666667
"19","264097016","8/18/15","cargill","F",121.5,95,95.5,95.25,9.566666667,6,2.783333333,4.766666667,17.84,93,87,80,74,68.5,64,57,51,NA,81815,27.8761008345852,0.423490768510314,667.04,55668.5733666667,29.8235595560007,0.410760132892676,650.426666666667,59557.6484333333,18.6985938407611,0.465707402839962,634.133333333333,37341.0919,31.342486796862,0.424534500942178,660.4,62590.9461333333
"20","264097017","8/18/15","cargill","F",126.5,NA,85,85,11.41666667,5.883333333,3,5.016666667,17.25,99,97,90,83,77,71.5,66,59,53,81815,31.7829342346854,0.444567797539996,612.066666666667,63470.5196666667,40.5167239192122,0.399499361485524,621.43,80911.8976666667,18.5745555166082,0.521223962317608,646.726666666667,37093.3873666667,37.6264601902854,0.422727626749826,638.393333333333,75140.041
"21","264097018","8/18/15","cargill","M",121.6666667,80.5,83,81.75,11.28333333,5.766666667,2.916666667,4.5,15.75,95,93,85.5,80,73.5,68,63,57,51,81815,17.7021039225505,0.490245105858657,682.116666666667,35351.1015333333,19.5129322483726,0.486261710169553,689.11,38967.3257,11.0008680353864,0.544922437286292,672.136666666667,21968.7334666667,18.3992272074779,0.52036980583992,689.11,36743.2567333333
"22","264097129","8/18/15","cargill","M",119.1666667,100,90.33333333,95.16666667,10.83333333,5.7,2.683333333,4.75,15.82,94,90,84,77.5,72,66.5,62,56,50.5,81815,17.5975495242864,0.484884664998058,627.113333333333,35142.3064,23.9520876147555,0.479353072498652,610.5,47832.3189666667,16.5545300617593,0.502685695303811,650.746666666667,33059.3965333333,21.2047835586713,0.504759418518974,650.426666666667,42345.9527666667
"23","264097130","8/18/15","cargill","M",123.1666667,93,93.66666667,93.33333333,10.35,10.53333333,4.633333333,6.266666667,17.01,97,95,89,82,77.5,71,65,58,52,81815,26.832949323986,0.439720212418886,671.443333333333,53585.3998,30.9479599232182,0.448522710255902,646.036666666667,61803.0759666667,19.3205636120848,0.520383618143811,661.413333333333,38583.1655333333,23.6455806710065,0.481430145005812,652.42,47220.2246
"24","264097131","8/18/15","cargill","M",119.8333333,91,NA,91,10.5,5.833333333,2.933333333,4.533333333,NA,94,93,96,81,76,70,65,58,52,81815,25.6228500250376,0.44368230235069,632.78,51168.8315,19.6970209147054,0.497280420644724,658.43,39334.9507666667,18.8096516107495,0.501284753326039,671.443333333333,37562.8742666667,22.1630505591721,0.501337399679321,654.093333333333,44259.6119666667
"25","264097134","8/18/15","cargill","M",123.8333333,90.5,NA,90.5,11.68333333,6.033333333,2.85,4.733333333,NA,97,95,88.5,83,78,71.5,65,59,53,81815,46.8428289100317,0.355724493039177,590.793333333333,93545.1293333333,27.7263926890336,0.44494895248724,610.18,55369.6062,17.6011504089468,0.523506373426473,643.413333333333,35149.4973666667,26.5186831413787,0.479207889679551,619.836666666667,52957.8102333333
"26","264097135","8/18/15","cargill","F",117.1666667,75,75,75,10.96666667,5.966666667,2.533333333,4.783333333,14.8,93,90,84.5,77,71,66.5,62,56,49.5,81915,31.9842119846436,0.403529232942917,610.5,63872.4713333333,29.707882390252,0.400056297605853,619.823333333333,59326.6411333333,15.2416321816057,0.527632481989694,668.43,30437.5394666667,27.385271390419,0.469265227974379,610.18,54688.3869666667
"27","264097137","8/19/15","cargill","F",120,81.66666667,80,80.83333333,11.15,5.933333333,2.816666667,4.766666667,17.06,94,92,87,81,76,69,64.5,57.5,50,81015,21.7354751460524,0.487352015433583,622.15,43405.7438666667,30.3309799198798,0.475103813432958,634.453333333333,60570.9669,16.5948503254882,0.522132588263637,682.076666666667,33139.9161,26.4167538641295,0.46694567137926,633.733333333333,52754.2574666667
"28","260054946","8/18/15","cargill","F",118,75.5,77,76.25,10.48333333,5.916666667,2.733333333,4.583333333,18.22,91,89,83.5,76,71,65,59,54,49,81815,28.9869286930396,0.415344111631416,642.78,57886.8966,18.3938156234352,0.519718385997542,654.746666666667,36732.4498,13.575953780671,0.531691088656722,680.403333333333,27111.1797,29.6681335336338,0.460172883060192,643.406666666667,59247.2626666667
