"","date","location","gps","lat","long","sex","band","rwl.mean","rts.mean","lts.mean","tail.mean","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","b.total.bright","b.avg.bright","b.hue","b.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","t.total.bright","t.avg.bright","t.hue","t.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","weight","mate.id"
"1","4/20/16","Agadir","first.one",30.052763,-9.649498,"f","1901",117,81.66666667,NA,81.66666667,10.58333333,5.266666667,2.866666667,4.833333333,98895.12267,49.5218441,626.48,0.33636904,72882.827,36.49615774,643.0933333,0.386757902,36731.68953,18.39343492,669.75,0.516527045,64207.10767,32.15178151,626.0933333,0.43099619,92,91.5,86,80,74,68,61,54,48,18.68,NA
"2","4/20/16","Agadir","pb",30.052916,-9.649945,"m","1902",125.8333333,92.16666667,92,92.08333334,10.46666667,5.816666667,2.816666667,4.716666667,102858.8493,51.50668469,599.15,0.372377473,107186.7537,53.67388766,607.79,0.361510682,19460.41413,9.744824303,687.3633333,0.52323271,77486.088,38.80124587,603.1466667,0.40706427,100,96.5,89.5,82,76,70,63.5,58,51,17.49,NA
"3","4/20/16","Agadir","retinue",30.05291,-9.650981,"f","1903",119.6666667,92.5,90.83333333,91.66666667,10.8,5.866666667,2.766666667,4.9,136894.572,68.55011117,578.8,0.330421217,128425.1257,64.30902637,585.81,0.330538,52226.48567,26.15247154,636.49,0.401185842,110935.3213,55.55098715,681.08,0.283525657,93,90,85.5,78,72.5,66.5,60,54,47,20.69,NA
"4","4/20/16","Agadir","retinue",30.05291,-9.650981,"m","1904",120.1666667,106,102,104,10.6,5.533333333,2.9,4.883333333,95190.61533,47.66680788,626.48,0.349298196,103853.0653,52.00453948,610.18,0.350451371,33225.09567,16.63750409,643.4066667,0.452559325,101803.973,50.97845418,626.48,0.341866822,96,94,88,81,75,NA,64,58,51,17.32,NA
"5","4/20/16","Agadir","too.slow",30.053336,-9.651466,"f","1905",119.1666667,83.66666667,83,83.33333334,10.78333333,6.066666667,2.966666667,4.8,156363.329,78.29911317,612.59,0.31525396,111058.3623,55.61260007,624.7766667,0.33788661,34020.14783,17.03562736,647.82,0.50750256,104055.779,52.10604857,639.78,0.351569173,93,93,87.5,81,75,69,64,57.5,51,20.78,NA
"6","4/20/16","Agadir","reflexes",30.053363,-9.651995,"m","1906",127.5,101.8333333,101,101.4166667,10.8,5.716666667,2.95,4.9,156363.329,78.29911317,612.59,0.31525396,111058.3623,55.61260007,624.7766667,0.33788661,34020.14783,17.03562736,647.82,0.50750256,104055.779,52.10604857,639.78,0.351569173,101,98,92,85,78.5,71,64.5,59,52,NA,NA
"7","4/20/16","Agadir","double.trouble",30.033109,-9.656175,"m","1907",125.6666667,109.8333333,105.3333333,107.5833333,10.85,6.4,2.933333333,4.9,145862.0847,73.04060324,661.4733333,0.301215318,135426.7807,67.815113,681.78,0.330191511,36187.88787,18.12112562,690.7833333,0.476175798,78856.47833,39.48747037,661.4733333,0.320683309,98,96,90,84,77,70.5,65,58,51.5,19.87,"1908"
"8","4/20/16","Agadir","double.trouble",30.033109,-9.656175,"f","1908",124.3333333,93,92.16666667,92.58333334,10.53333333,6.266666667,3.116666667,5.233333333,99533.28433,49.84140427,644.1666667,0.335887772,134459.033,67.33051227,646.1233333,0.329415036,43953.09233,22.00956051,692.09,0.447124765,88771.65167,44.45250459,655.11,0.351601414,98,96,89.5,82.5,76,70,64.5,58,52,21.23,"1907"
"9","4/20/16","Agadir","fledgies",30.032983,-9.655725,"f?","1909",125.5,102.3333333,108.8333333,105.5833333,10.7,5.866666667,3.033333333,5.333333333,111771.874,55.96989184,661.16,0.356011042,107407.3183,53.78433567,661.16,0.356843376,37456.63483,18.75645209,661.16,0.459842827,93414.08833,46.77720998,644.1066667,0.385457066,97,95,90,83,77,70,64,56.5,51,20.94,NA
"10","4/20/16","Agadir","fledgies",30.032983,-9.655725,"f","1910",120.6666667,91.33333333,90.5,90.91666667,10.36666667,5.816666667,2.883333333,4.666666667,133490.917,66.84572709,561.17,0.321735753,139538.552,69.87408713,575.7933333,0.331375382,25885.23937,12.96206278,653.4133333,0.453503242,102386.5647,51.27018761,625.7066667,0.3375234,95,95,90,83,76,70,65,58,51,16.97,NA
"11","4/20/16","Agadir","bunting",30.032689,-9.655086,"f","1911",119.5,87,85,86,11.06666667,5.883333333,3,5.166666667,136230.3355,68.21749399,592.925,0.329410382,119385.0717,59.78220915,597.7433333,0.327859369,24995.74507,12.5166475,674.44,0.48125569,87701.074,43.91641162,660.02,0.346380558,91,90.5,85,79,73,67,63,55,50,21.83,NA
"12","4/21/16","Agadir","seis",30.032481,-9.655982,"m?","1912",122.3333333,100.8333333,99.33333333,100.0833333,11.03333333,6.1,2.933333333,5.25,168474.022,84.36355633,661.73,0.30022674,112327.3203,56.24803221,607.1433333,0.346073866,37982.38567,19.01972242,651.4233333,0.463597529,88041.636,44.08694842,607.7866667,0.336148622,95,94,87.5,82,75.5,71,64,58,51,16.4,NA
"13","4/21/16","Agadir","seis",30.032481,-9.655982,"f","1913",121.3333333,84,82,83,10.26666667,6.333333333,2.983333333,5.266666667,131540.5917,65.86909948,643.4066667,0.33014683,126773.5533,63.48199967,660.02,0.323668385,37667.7152,18.86215083,660.02,0.469223678,131367.1343,65.78224053,643.7266667,0.318478062,96,94,89,82,77,70,65,59,53,17.45,NA
"14","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1914",126.1666667,110,109.1666667,109.5833334,10.9,6.2,2.933333333,5.266666667,138482.8507,69.3454435,655.1233333,0.315220652,142602.227,71.40822584,618.1633333,0.307712391,27809.27993,13.92552826,643.1,0.486498715,102828.419,51.49144667,635.4466667,0.344124781,100,96,89,83,78,72,66,61,54.5,17.63,NA
"15","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1915",128.5,NA,107.3333333,107.3333333,10.3,5.516666667,2.833333333,4.65,79608.21733,39.86390452,643.4066667,0.401145276,81983.04067,41.05309998,626.7933333,0.40699465,18160.0461,9.093663545,660.02,0.495257804,48920.3315,24.49691112,643.4066667,0.486898841,101,97.5,90,83.5,78,71,65,59,52,17.33,NA
"16","4/21/16","Agadir","seis",30.032481,-9.655982,"f?","1916",123.8333333,NA,93.83333333,93.83333333,10.03333333,5.733333333,2.9,4.833333333,90933.804,45.53520481,552.52,0.364618311,109506.2447,54.8353754,587.82,0.334991414,31104.6265,15.57567677,650.4333333,0.454255181,89088.676,44.61125488,552.19,0.382730263,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52,NA
"17","4/21/16","Agadir","seis",30.032481,-9.655982,"m","1917",128.1666667,108.8333333,NA,108.8333333,10.8,6.4,3.1,5.3,114594.368,57.38325889,609.4066667,0.362229925,95986.201,48.0651983,590.7933333,0.391976137,21024.13023,10.5278569,677.7366667,0.547961081,67447.34333,33.77433317,618.0666667,0.453630754,101,98,91,84.5,79,73,66,61,54,19.11,NA
"18","4/21/16","Agadir","suspicious",30.032481,-9.655982,"m","1918",126.3333333,104,100,102,10.36666667,5.566666667,2.733333333,4.233333333,148782.0187,74.50276348,632.1133333,0.306921832,165244.166,82.7462023,648.7733333,0.292956548,51943.549,26.01079069,660.02,0.419933751,131742.0393,65.96997463,660.02,0.316594425,99,96,90,82,77,71,65.5,60,54,18,NA
"19","4/21/16","Agadir","suspicious",30.032481,-9.655982,"f","1919",122.5,89.83333333,86,87.91666667,10.43333333,6.283333333,3.133333333,5.016666667,89866.593,45.0007977,609.02,0.358631887,82003.28867,41.06323919,643.02,0.359760541,34548.0019,17.29995088,667.04,0.469848093,72358.437,36.23356885,626.4066667,0.41645314,97,97,90.5,82,76,70,65,60,53,19.24,NA
"20","4/21/16","Agadir","suspicious",30.032481,-9.655982,"f","1920",123.5,84.83333333,83.16666667,84,10.83333333,5.85,2.8,5,117074.76,58.62531798,660.78,0.346218581,149642.002,74.9334011,661.16,0.322104779,31549.4192,15.79840721,660.4,0.438386283,117673.7043,58.92524003,661.16,0.337042799,97,96.5,89.5,83,75,70,65,60,54,19.3,"1921"
"21","4/21/16","Agadir","suspicious",30.032481,-9.655982,"m","1921",124.8333333,94.33333333,95,94.66666667,10.78333333,6.2,2.683333333,4.766666667,141072.154,70.64204006,587.82,0.312227749,159877.4907,80.05883358,653.7633333,0.301426246,25946.71377,12.99284615,643.1,0.503343141,122007.35,61.09531798,614.04,0.335036047,98,95.5,89,83,76,69,63,56,50,17.69,"1920"
"22","4/21/16","Agadir","peee",30.034544,-9.656766,"f","1922",124.6666667,98.16666667,97.66666667,97.91666667,10.56666667,5.6,2.933333333,4.783333333,149008.537,74.61619279,650.76,0.298831876,121388.099,60.78522734,596.1433333,0.33303672,27395.87143,13.71851349,666.7266667,0.458131531,104904.6287,52.531111,591.18,0.33520245,99,97,90,81,76,68,62,57,52,19.96,NA
"23","4/21/16","Agadir","peee",30.034544,-9.656766,"m","1923",122,100.3333333,100,100.1666667,10.06666667,5.466666667,2.9,4.666666667,112318.1583,56.24344433,586.7166667,0.349857877,117112.358,58.64414522,567.1333333,0.337199535,24663.38243,12.35021654,661.11,0.481037576,79231.79367,39.67540995,592.1333333,0.384071312,96,95,90,83,77,72,66,59,54,17.39,NA
"24","4/21/16","Agadir","peee",30.034544,-9.656766,"m","1924",123,123,NA,123,10.06666667,5.666666667,2.95,4.8,119662.2743,59.92101869,672.0966667,0.337491151,102261.9903,51.20780688,672.0966667,0.330772718,26534.92963,13.28739591,691.0966667,0.479938617,109410.756,54.78755934,650.4766667,0.345618765,97,94.5,88,81,74,68,63,57,52,17.83,NA
"25","4/21/16","Agadir","died.like.fools",30.033996,-9.656652,"M","1925",122.5,100.1666667,98.33333333,99.25000002,10.16666667,6.133333333,2.8,4.366666667,140453.4093,70.33220297,589.4366667,0.323910089,132548.8497,66.37398581,616.0733333,0.32389659,31227.9738,15.63744306,666.4133333,0.474439904,120002.586,60.09143015,609.02,0.326131796,95,93,86.5,81,74,68,64,57,51,17.74,NA
"26","4/21/16","Agadir","died.like.fools",30.033996,-9.656652,"F","1926",124.5,89,86,87.5,10.56666667,6.583333333,3.033333333,4.633333333,153888.2737,77.05972642,568.4533333,0.312009162,117838.7827,59.00790319,604.07,0.33431855,25693.60877,12.86610354,651.44,0.494444067,91681.77933,45.9097543,646.4233333,0.356922033,97,95,89,83,76,70,65,58,51,19.3,NA
"27","4/21/16","Agadir","oof",30.053524,-9.650047,"m","1927",122,100,100,100,11.06666667,5.8,2.966666667,4.9,117418.881,58.79763696,579.1266667,0.348589778,123261.6783,61.7234243,626.48,0.324264564,26593.35577,13.31665286,666.7266667,0.480041752,89378.92333,44.75659656,615.4633333,0.390944628,95,93,87,79,74,69,62,56,50,19.55,"1928"
"28","4/21/16","Agadir","oof",30.053524,-9.650047,"f","1928",121.1666667,85,85,85,11.03333333,6.3,3,5.4,128736.945,64.46517026,661.16,0.322051523,106539.3383,53.34969371,660.4,0.314493007,57057.9433,28.57182939,682.02,0.419284358,114143.5463,57.15750943,660.4,0.33111037,97,95,89.5,83,77,71,65,57,50,16.06,"1927"
"29","4/21/16","Agadir","retinue",30.05291,-9.650981,"m","1929",120.1666667,95,95,95,10.43333333,5.333333333,2.866666667,4.7,107014.7173,53.58774028,660.78,0.34222381,128367.2663,64.28005325,661.16,0.317084556,24822.23923,12.42976426,660.02,0.449174981,49829.28033,24.95206827,644.1066667,0.482452759,94,94.5,87,81,76,69.5,64,58,52,17.27,"1903"
"30","4/21/16","Agadir","pb",30.052916,-9.649945,"f","1930",122,93.5,NA,93.5,10.75,5.683333333,2.8,4.7,142584.0187,71.399108,615.4466667,0.308193639,123103.182,61.64405709,611.4633333,0.339041923,36180.99813,18.11767558,655.42,0.474726163,90499.65833,45.31780588,611.4633333,0.366695455,96,94,88,82,77,71,65,59,53,19.15,"1902"
"31","4/21/16","Agadir","reflexes",30.053363,-9.651995,"m?","1931",122.5,NA,96.66666667,96.66666667,10.63333333,5.816666667,2.95,5.433333333,104874.3047,52.51592622,666.1,0.315294088,134914.907,67.55879169,623.1333333,0.306290107,41178.132,20.61999599,609.4066667,0.456373047,128628.5383,64.41088549,632.3533333,0.312772176,96,93,87,80.5,75,69.5,64,56,49,18.83,"1906"
"32","4/21/16","Agadir","too.slow",30.053336,-9.651466,"f","1932",119.6666667,89,87,88,10.36666667,5.633333333,3.033333333,4.933333333,113757.9485,56.96442088,660.02,0.326291305,134912.3757,67.55752412,610.5,0.317332196,38284.43233,19.17097263,626.7933333,0.449605023,109516.231,54.84037606,609.7933333,0.319882633,94,93,88,81.5,7.4,67,62,57.5,52,19.45,NA
"33","4/21/16","Agadir","retinue",30.05291,-9.650981,"f","1933",127,94.66666667,93.83333333,94.25,10.56666667,5.5,2.783333333,4.5,101936.712,51.04492339,626.0933333,0.312834319,116026.8693,58.10058554,610.05,0.339656685,27537.57297,13.78947069,643.4066667,0.476731765,107615.7883,53.88872726,586.8533333,0.348427871,105,98,92,85.5,78,72,67.5,61,54,21.92,NA
"34","4/21/16","Agadir","dernier",30.05453,-9.652906,"f","1934",121,93,91.83333333,92.41666667,10.23333333,5.683333333,3,5.033333333,86934.23233,43.53241479,643.7866667,0.346135527,100693.6467,50.42245702,644.1066667,0.357700515,34533.70503,17.2927917,660.4,0.500927306,81210.81433,40.66640678,643.7266667,0.399512155,95,93.5,88,81,75.5,62,68,57,50,18.35,NA
"35","4/22/16","Oulad","hot.1",30.426798,-9.11277,"m","1937",126,104,109,106.5,10.2,5.783333333,3.1,5.5,144649.6727,72.43348656,566.09,0.314781588,102884.8707,51.51971491,579.84,0.354492299,28479.25337,14.26101821,626.4133333,0.473138061,118361.3443,59.26957653,601.81,0.311016617,99,98,92,85,79,72,66,59,53,17.81,NA
"36","4/22/16","Oulad","hot.2",30.426785,-9.112833,"m","1938",120.3333333,93.66666667,90.66666667,92.16666667,9.983333333,5.683333333,2.883333333,4.766666667,73016.58887,36.56313914,621.76,0.334063137,93737.035,46.93892589,691.0966667,0.358723476,59467.99333,29.77866466,629.4833333,0.385773697,74802.178,37.45727491,654.7966667,0.399831709,95,94,87.5,82,77,69.5,64.5,58,51,17.1,NA
"37","4/23/16","Oulad","facile",30.425314,-9.115567,"f","1935",120,80.33333333,81.16666667,80.75,10.76666667,6,2.866666667,4.4,124314.5513,62.25065164,661.4066667,0.305477081,105268.5027,52.71332132,610.4066667,0.33351284,45765.13833,22.91694458,636.7666667,0.453289578,55189.34067,27.63612452,657.8166667,0.437050106,94,95,84.5,81.5,77,71,65,60,52,19.1,"1936"
"38","4/23/16","Oulad","facile",30.425314,-9.115567,"m","1936",121.3333333,95,93,94,11,5.783333333,2.883333333,5.066666667,63370.60847,31.73290359,643.7266667,0.389830482,52240.29253,26.15938534,660.02,0.408589723,22501.70203,11.26775265,660.02,0.513146647,46669.7333,23.36992153,660.02,0.472098033,95.5,93.5,87,79.5,73,67,62,57,51,17.41,"1935"
"39","4/23/16","Oulad","delegate",30.427045,-9.112923,"m","1939",122,112.6666667,113.8333333,113.25,10.31666667,5.066666667,3.1,4.383333333,76985.49,38.55057086,625.7066667,0.349525717,109218.191,54.6911322,625.7066667,0.332906066,33044.86347,16.54725261,667.04,0.454566803,61528.59367,30.8105126,643.4066667,0.430518475,96,94,88,80,73.5,67,60,56,49.5,17.21,"1949"
"40","4/23/16","Oulad","hot.3",30.427856,-9.112816,"f","1940",117.1666667,80.16666667,79.83333333,80,10.33333333,5.5,2.933333333,5,103005.57,51.58015523,613.7833333,0.34197297,118671.6153,59.42494508,616.15,0.328553351,46122.74397,23.09601601,653.7566667,0.44960126,112810.73,56.49010015,637.4833333,0.318243919,92,90,86,80,73,68,62.5,58,51,19.25,NA
"41","4/23/16","Oulad","helpers",30.427856,-9.112816,"f","1941",119.5,88,86,87,10.45,5.533333333,2.783333333,4.6,90964.68667,45.55066934,626.0933333,0.336129762,118162.678,59.17009414,668.11,0.33686035,38193.99433,19.1256857,651.0566667,0.459034096,91035.47733,45.58611784,610.4366667,0.362052256,94,93,88,80,74,69,63,56,49,18.22,"1951"
"42","4/23/16","Oulad","oh.my.knees",30.430225,-9.112992,"m","1942",130.6666667,115,112.6666667,113.8333334,10.15,5.983333333,2.866666667,5.283333333,94576.00167,47.35903939,659.7733333,0.331536137,97003.154,48.57443866,634.1133333,0.352614802,27871.42867,13.95664931,669.7166667,0.484433357,89385.564,44.75992188,643.0933333,0.328106306,105.5,102,95,87,81,73,64.5,54,NA,16.65,NA
"43","4/23/16","Oulad","deception",30.427045,-9.112923,"f","1943",121.6666667,88,88,88,10.63333333,5.6,2.816666667,5.133333333,94982.25,47.5624687,596.7533333,0.343561228,95774.21933,47.95904824,568.1766667,0.326210978,23040.6339,11.53762339,664.1533333,0.528118443,66697.115,33.39865548,619.1766667,0.379850525,95,93,88.5,81,75.5,70,65,59,52,21.22,NA
"44","4/23/16","Oulad","mystery.nest",30.427045,-9.112923,"f","1944",122.5,82,80.66666667,81.33333334,11.11666667,5.533333333,2.85,4.8,123846.1413,62.01609481,596.8366667,0.312280638,102039.4433,51.09636622,650.4266667,0.339817157,34933.2647,17.49287166,650.04,0.466813697,81537.717,40.83010366,597.7433333,0.356004754,95,93,87.5,81,75.5,69,62,57,51,20.1,NA
"45","4/23/16","Oulad","peanut.gallery",30.428265,-9.112692,"m","1945",127,103.3333333,104.6666667,104,10.63333333,6.166666667,2.866666667,5.05,92567.87033,46.35346536,660.02,0.338818808,89065.59233,44.59969571,660.02,0.368134411,38159.04453,19.10818454,660.4,0.451405363,78794.309,39.45633901,643.4066667,0.358883328,98,96,90.5,83,77,72,66,59,53,21.39,"1946"
"46","4/23/16","Oulad","peanut.gallery",30.428265,-9.112692,"f","1946",123.5,84.66666667,80,82.33333334,10.81666667,6.2,2.816666667,5.233333333,115206.9253,57.68999766,644.4866667,0.334371255,117564.26,58.87043565,628.46,0.345360548,35787.5228,17.92064236,668.7366667,0.466940546,81072.84667,40.59731931,611.4633333,0.36371031,96,96,90,84,77,71,64.5,58,50,20.15,"1945"
"47","4/23/16","Oulad","floppy.disk",30.428426,-9.11284,"f","1947",124,87.5,87,87.25,10.63333333,6,3.066666667,5.066666667,101476.392,50.81441763,611.4633333,0.364977708,113176.4957,56.67325772,661.16,0.345783966,25706.65573,12.87263682,668.74,0.487821875,79972.03433,40.0460863,627.8133333,0.389973068,96,95,90,88,77,72,66,59,53,18.25,"1948"
"48","4/23/16","Oulad","floppy.disk",30.428426,-9.11284,"m","1948",124,106.5,104.6666667,105.5833334,10.16666667,5.5,2.833333333,4.6,87871.80233,44.00190402,638.3933333,0.365542583,97229.273,48.687668,614.8166667,0.368020645,17250.2286,8.638071407,654.4,0.528619726,61775.05767,30.93392973,660.0866667,0.425801025,98,95,89,82,75.5,69.5,64,59,52,17.25,"1947"
"49","4/23/16","Oulad","delegate",30.427045,-9.112923,"f","1949",122.1666667,90.5,92.33333333,91.41666667,10.8,5.733333333,3.016666667,4.566666667,95180.99767,47.66199182,585.7466667,0.372743416,100750.0827,50.45071741,598.4466667,0.369899214,32589.10933,16.31903322,653.8033333,0.498217436,78604.27467,39.3611791,619.4566667,0.416259317,95,93.5,88,81,75.5,69,64,57,49.5,19.65,"1939"
"50","4/23/16","Oulad","hot.1",30.426798,-9.11277,"f","1950",119.6666667,88,88.33333333,88.16666667,10.6,5.65,2.7,4.633333333,139972.844,70.09155934,592.1233333,0.311570249,122881.0063,61.53280237,577.4766667,0.330282029,29827.65373,14.93623121,660.1233333,0.478032804,71500.531,35.80397146,634.7933333,0.378946691,94,92,87,80,75,70,64,58,52,18.46,NA
"51","4/23/16","Oulad","deception",30.426798,-9.11277,"m","1951",118.6666667,96.16666667,95,95.58333334,10.3,5.35,2.666666667,4.9,120923.5333,60.55259556,615.0566667,0.319402951,103560.4467,51.85801035,586.7933333,0.345243082,25791.1733,12.91495909,626.48,0.509999992,73879.72367,36.99535487,633.8133333,0.378479343,93,92,87,80.5,75,69,62,57,50,18.18,"1943"
"52","4/24/16","Oulad","mosque",30.439563,-9.06734,"m","1952",125.1666667,105.3333333,99,102.1666667,10.1,5.933333333,3.1,4.6,93198.50267,46.66925522,644.4866667,0.369995876,133200.3653,66.70023302,635.0633333,0.321619055,21914.428,10.97367451,683.07,0.518429435,85140.73467,42.63431881,628.1266667,0.386481098,97,96,89,82.5,77,72,66.5,60.5,53.5,19.39,NA
