locality1,population,locality2,weighted_Fst
alzamay,rt.zone,egypt,0.078706
boatu,baotu,egypt,0.096982
changchun,changchun,egypt,0.084985
colorado,colorado,egypt,0.080094
egypt,egypt,egypt,0
harbin,harbin,egypt,0.10087
israel,israel,egypt,0.030276
jiuquan,jiuquan,egypt,0.055283
khingui,rt.zone2,egypt,0.060532
marrakesh,morocco,egypt,0.026705
moscow,moscow,egypt,0.031616
narin-talacha,narin.talacha,egypt,0.071967
qinhuangdao,qinhuangdao,egypt,0.10307
qiqihar,qiqihar,egypt,0.082045
takecha,mixed.barns,egypt,0.079836
tokyo,tokyo,egypt,0.10487
yekatarinburg,yekaterinburg,egypt,0.036518
zakaltoose,zakaltoose,egypt,0.069245
zhangye,zhangye,egypt,0.039776
zhengzhou,zhengzhou,egypt,0.095367